#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:09.664548765Z,16.32,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:11.665008528Z,21.09,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:13.664724317Z,21.74,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:15.665320394Z,22.65,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:17.664827426Z,23.11,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:19.664298377Z,23.04,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:21.66476262Z,23.27,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:23.664749128Z,24.86,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:25.664539739Z,24.84,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:27.664965431Z,24.9,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:29.664542595Z,25.57,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:31.665164803Z,25.59,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:33.665081759Z,25.69,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:35.664391634Z,26.3,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:37.664826186Z,26.46,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:39.664547835Z,27.16,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:41.664419119Z,27.11,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:43.664869532Z,27.31,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:45.664530629Z,27.5,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:47.665038284Z,27.92,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
,,0,2024-01-26T11:20:25.620935446Z,2024-02-25T11:20:25.620935446Z,2024-02-25T01:56:49.664734382Z,28.76,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAMTOOLS_FILTER (GM12878_OMNI_REP1) (74),1482707,74
