#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:30.005750508Z,64.14,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:32.005692961Z,1406.66,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:34.006002385Z,2347.5,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:36.005579006Z,2711.86,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:38.006132888Z,3027.01,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:40.006267968Z,4094.25,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:42.005832018Z,4500.93,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:44.005648067Z,4550.96,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:46.006161658Z,4590.14,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:48.005619886Z,4589.71,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:50.005926181Z,4633.95,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:52.005692498Z,4689.16,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:54.005969222Z,4765.59,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:56.005826973Z,4765.8,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:36:58.006073276Z,4897.41,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:00.005959298Z,5094.29,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:02.006362136Z,5094.65,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:04.005921867Z,5094.79,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:06.005502579Z,5386.13,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:08.00598786Z,6092.04,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:10.005359125Z,6092.87,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:12.005837846Z,6093.04,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:14.005438229Z,6093.08,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:16.006140348Z,6093.01,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
,,0,2024-01-26T11:20:25.341265617Z,2024-02-25T11:20:25.341265617Z,2024-02-25T01:37:18.005465161Z,6125.38,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (GM12878_STD_REP2) (44),1324637,44
