#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:13.249221502Z,147.8372,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:15.248702333Z,139.4572,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:17.249309712Z,144.2267,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:19.24868563Z,145.3881,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:21.249088252Z,142.1859,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:23.248297165Z,143.4874,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:25.249051258Z,146.2782,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:27.248485919Z,144.2021,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:30.249147898Z,135.3995,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
,,0,2024-01-26T11:20:30.505512434Z,2024-02-25T11:20:30.505512434Z,2024-02-25T01:39:32.248585879Z,143.8604,docker_cpu_usage_pct,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (GM12878_STD_REP2_T1) (66),1363021,66
