#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:28.793466143Z,18.98,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:30.793056313Z,150.65,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:32.793328838Z,383.37,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:34.793809932Z,518.92,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:36.793648056Z,676.02,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:38.793917518Z,816.42,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:40.793428906Z,991.1,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:42.79363323Z,1121.46,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:44.793109221Z,1304.46,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:46.792826284Z,1423.59,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:48.793158379Z,1616.36,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:50.793123025Z,1734.52,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
,,0,2024-01-26T11:20:24.127850039Z,2024-02-25T11:20:24.127850039Z,2024-02-25T00:00:52.793083602Z,1911.79,docker_used_memory_mb,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1) (6),1006541,6
