#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:20:59.756232705Z,164.0749,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:21:01.755868509Z,162.25,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:21:03.756231927Z,161.9124,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:21:05.75606399Z,163.8691,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:21:07.755798051Z,163.0335,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:21:09.756466034Z,154.9426,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:21:11.755851987Z,151.4248,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:21:13.75546315Z,163.2243,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:21:15.755856798Z,150.575,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
,,0,2024-01-24T01:04:41.942859985Z,2024-02-23T01:04:41.942859985Z,2024-02-22T17:21:17.755613339Z,152.868,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (EZH2_IP_NTKO_REP2) (255),3563196,255
