#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:18.857275629Z,15.75,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:20.857718433Z,19.04,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:22.857378443Z,20.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:24.857784968Z,22.3,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:26.857197344Z,24.14,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:28.858088957Z,25.09,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:30.857484035Z,24.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:32.857882405Z,24.5,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:34.85742595Z,25.41,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:36.858040581Z,25.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:38.857710842Z,27.05,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:40.857191489Z,26,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:42.857817594Z,26.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:44.857371817Z,26.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
,,0,2024-01-24T01:04:42.58585271Z,2024-02-23T01:04:42.58585271Z,2024-02-22T16:17:46.857299112Z,26.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_NTKO_REP2) (197),3228698,197
