#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:18.348888026Z,157.1335,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:20.348457063Z,155.112,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:22.349019266Z,155.8375,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:24.348315052Z,159.767,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:26.349024626Z,158.1233,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:28.348466875Z,164.2334,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:30.349105164Z,150.1996,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:32.348627382Z,148.3105,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:34.349080613Z,150.7448,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
,,0,2024-01-24T01:04:42.92468717Z,2024-02-23T01:04:42.92468717Z,2024-02-22T17:14:36.348622368Z,148.4019,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_FILTER (INPUT_VEH_REP2) (235),3521215,235
