#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:02.567837516Z,1920.25,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:04.568529644Z,1920.6,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:06.5679703Z,1922.01,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:08.567672037Z,1922.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:10.568098617Z,1922.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:15.567997026Z,1924.49,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:17.5675713Z,1954.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:19.568111396Z,2013.67,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:21.56765961Z,2075.38,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
,,0,2024-01-24T01:05:02.777842968Z,2024-02-23T01:05:02.777842968Z,2024-02-22T20:13:23.56828091Z,2138.06,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (EZH2_IP_NTKO_REP1) (385),382729,385
