#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:52:46.939089604Z,1937.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:52:48.939767978Z,200.75,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:52:50.939441469Z,1948.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:52:52.939912696Z,2001.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:52:54.939527896Z,1666.54,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:52:56.93988411Z,467.55,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:52:58.93980843Z,1687.4,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:01.939118472Z,1643.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:03.939540258Z,1591.12,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:05.939132728Z,809.22,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:07.939827813Z,1565.34,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:09.939455224Z,1487.85,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:11.939956643Z,1482.69,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:13.93945532Z,1463.39,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:15.940060073Z,1494.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:17.93953878Z,1515.98,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:19.940160683Z,1549.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:21.939195426Z,632.58,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:23.939972144Z,1410.2,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:25.939498263Z,1098.12,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:27.94023614Z,1260.14,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:29.940226184Z,1273.75,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:31.940014401Z,1184.08,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:33.939722017Z,1110.87,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:35.939606977Z,1949.75,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:37.939449126Z,785.4,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:39.940190494Z,787.15,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:41.940214549Z,790.79,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
,,0,2024-01-24T01:05:03.118662821Z,2024-02-23T01:05:03.118662821Z,2024-02-22T17:53:43.940036948Z,790.61,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_E2_REP2) (308),3785445,308
