#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:33.613326684Z,109.5124,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:35.61412874Z,171.146,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:37.613784951Z,143.31,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:39.612978547Z,139.2026,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:41.613870967Z,179.8738,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:43.613113545Z,134.0667,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:45.613897421Z,112.4759,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:47.613348906Z,113.7033,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:49.613835603Z,117.9989,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
,,0,2024-01-24T01:05:03.232343031Z,2024-02-23T01:05:03.232343031Z,2024-02-22T17:52:51.613231806Z,133.25,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (FOXA1_IP_VEH_REP2) (301),3782767,301
