#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:31.539789669Z,1919.26,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:33.539539078Z,1929.27,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:35.539655029Z,1990.05,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:37.539446782Z,2049.09,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:39.539811304Z,2036.01,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:41.539139974Z,2035.49,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:43.539987523Z,2083.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:45.539321875Z,2142.89,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:47.53931831Z,1838.64,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:49.53978172Z,1838.64,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:51.539502677Z,1895.83,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:53.540433693Z,1955.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:55.53975404Z,1909.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:57.539213293Z,1965.62,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:39:59.540034948Z,1897.19,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:01.539625135Z,1938.88,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:03.539946056Z,875.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:05.539402841Z,1923.57,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:07.540143896Z,1980.8,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:09.539741687Z,1910.64,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:11.540453212Z,1944.91,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:13.54024252Z,1999.43,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:15.539620135Z,1905.34,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:17.539565838Z,1959.86,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:19.540244374Z,1953.89,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:21.539684422Z,1992.91,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:23.540299416Z,1970.39,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:25.539939191Z,2016.81,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:27.539477532Z,2048.82,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:29.540284373Z,2080.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:31.539914198Z,2117.72,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:33.53946247Z,2129.85,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:35.540057615Z,2191.22,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:37.539729261Z,2077.05,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:39.540235303Z,2059.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:41.539723533Z,2086.76,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:43.53943635Z,2099.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:45.539754895Z,2127.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:47.539490242Z,2070.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:49.539830749Z,2116.84,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:51.539488093Z,2062.01,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
,,0,2024-01-24T01:05:03.317100373Z,2024-02-23T01:05:03.317100373Z,2024-02-22T20:40:53.539984033Z,2122.84,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_E2_REP2) (407),533381,407
