#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:20.151109939Z,1918.03,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:22.150785329Z,1919.22,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:24.151466705Z,1920.82,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:26.1509757Z,1920.55,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:28.150403067Z,1920.47,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:30.150908372Z,1920.76,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:32.150478162Z,1920.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:34.151031566Z,1921.52,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:36.1508014Z,1920.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
,,0,2024-01-24T01:05:03.363949617Z,2024-02-23T01:05:03.363949617Z,2024-02-22T20:37:38.150394973Z,1920.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP1) (405),520138,405
