#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:35.659387976Z,106.3374,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:37.659513656Z,106.3455,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:39.660206673Z,107.3672,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:41.659818932Z,108.021,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:43.660327498Z,108.1858,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:45.659578839Z,100.2184,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:47.660314238Z,99.7509,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:49.660171716Z,107.104,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:51.659605707Z,99.6839,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:53.660214694Z,99.9336,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
,,0,2024-01-24T01:05:03.464290063Z,2024-02-23T01:05:03.464290063Z,2024-02-22T19:38:55.65932916Z,99.745,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_NTKO_REP2) (374),225145,374
