#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:14.197880307Z,1918.06,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:16.197396358Z,1943.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:18.19781874Z,2002.28,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:20.197393064Z,2062.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:22.197919629Z,2027.83,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:24.197472673Z,2040.16,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:26.197987167Z,2098.87,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:28.19751554Z,2157.3,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:30.198083057Z,1828.48,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
,,0,2024-01-24T01:05:03.688374071Z,2024-02-23T01:05:03.688374071Z,2024-02-22T20:33:32.197670271Z,1852.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),NFCORE_CHIPSEQ:CHIPSEQ:BEDTOOLS_GENOMECOV (INPUT_VEH_REP2) (404),500540,404
