#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:01.521460001Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0003.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:01.527118744Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0004.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:01.529451429Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0001.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:01.531723243Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0000.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:01.53473557Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0002.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:01.543210544Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0005.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:12.349031027Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0011.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:12.356058014Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0009.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:12.366535353Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0006.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:12.376682972Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0008.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:12.414789185Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0010.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:12.433038195Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0007.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:22.943385295Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0012.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:22.951535489Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0017.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:22.967096592Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0014.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:22.995109099Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0015.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:23.008493012Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0016.bam,1478919,78
,,0,2024-01-24T01:04:47.983959507Z,2024-02-23T01:04:47.983959507Z,2024-02-22T07:16:23.014129584Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (EZH2_IP_NTKO_REP1_T1) (78),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/cc/c4315fd474174c8db2b489dadaf05f/EZH2_IP_NTKO_REP1_T1.Lb.sorted.0013.bam,1478919,78
