#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:16.286060364Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/.command.trace,967384,49
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:19.613324466Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/FOXA1_IP_E2_REP1_T1.Lb.sorted.0005.bam,967384,49
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:19.636920182Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/FOXA1_IP_E2_REP1_T1.Lb.sorted.0001.bam,967384,49
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:19.649731543Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/FOXA1_IP_E2_REP1_T1.Lb.sorted.0000.bam,967384,49
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:19.656584172Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/FOXA1_IP_E2_REP1_T1.Lb.sorted.0003.bam,967384,49
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:19.687534933Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/FOXA1_IP_E2_REP1_T1.Lb.sorted.0002.bam,967384,49
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:19.695088075Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/FOXA1_IP_E2_REP1_T1.Lb.sorted.0004.bam,967384,49
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:27.535010271Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/FOXA1_IP_E2_REP1_T1.Lb.sorted.bam,967384,49
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:44.995586779Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/FOXA1_IP_E2_REP1_T1.Lb.sorted.0000.bam,967384,49
,,0,2024-01-24T01:04:48.269555925Z,2024-02-23T01:04:48.269555925Z,2024-02-22T03:29:45.016949633Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_E2_REP1_T1) (49),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/1d/9b84662cf7f1c2dffe24e47158c9d6/FOXA1_IP_E2_REP1_T1.Lb.sorted.0001.bam,967384,49
