#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:37:59.942484851Z,423.027,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:01.942889432Z,563.1298,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:03.942383153Z,607.4767,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:05.942878596Z,609.1391,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:07.942464449Z,607.8215,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:09.944157981Z,348.8425,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:11.942710131Z,608.3114,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:13.942246502Z,617.4578,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:15.942763976Z,639.1712,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:17.942265016Z,631.6716,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:19.942864251Z,628.2029,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:21.942327199Z,613.1313,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:23.943019177Z,633.0625,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
,,0,2024-01-24T01:04:48.859866714Z,2024-02-23T01:04:48.859866714Z,2024-02-22T09:38:25.942342581Z,628.7137,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),1794583,103
