#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:21:57.709686358Z,104.5424,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:21:59.710126872Z,107.1738,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:22:01.709544541Z,381.3164,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:22:03.710016093Z,1308.3534,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:22:05.709513103Z,1210.9455,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:22:07.709075734Z,1201.5974,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:22:09.709585304Z,1193.2958,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:22:11.709136703Z,1205.5119,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:22:13.709655021Z,1208.5933,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
,,0,2024-01-24T01:04:49.663003641Z,2024-02-23T01:04:49.663003641Z,2024-02-22T09:22:15.709214527Z,1204.081,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_E2_REP2_T1) (46),1738658,46
