#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:41.465930396Z,2220.57,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:43.465391019Z,5249,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:45.465750203Z,5722.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:47.465233909Z,6314.82,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:49.465782831Z,6833.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:51.465174947Z,7057.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:53.465921187Z,7286.11,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:55.465264752Z,7509.61,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:57.46587113Z,7733.04,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
,,0,2024-01-24T01:04:49.805035851Z,2024-02-23T01:04:49.805035851Z,2024-02-22T11:37:59.465308911Z,7960.54,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (INPUT_NTKO_REP2_T1) (76),2019610,76
