#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:41.369447872Z,206.43,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:43.369978934Z,229.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:45.369555925Z,251.8,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:47.370152658Z,283.17,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:49.369600394Z,321.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:51.369304359Z,282.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:53.369757567Z,398.98,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:55.369334657Z,318.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:57.369913059Z,372.22,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
,,0,2024-01-24T01:04:28.739684333Z,2024-02-23T01:04:28.739684333Z,2024-02-22T22:48:59.369392945Z,332.3,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (FOXA1_IP_VEH_REP1) (456),1314882,456
