#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:51:43.148644628Z,207.01,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:51:45.14918095Z,233.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:51:47.148681869Z,258.94,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:51:49.148319254Z,306.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:51:51.148851789Z,288.37,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:51:53.148409463Z,289.75,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:51:55.148829346Z,316.69,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:51:57.148436305Z,320.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:51:59.149059937Z,353.34,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:52:01.148478781Z,391.85,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
,,0,2024-01-24T01:04:29.178790886Z,2024-02-23T01:04:29.178790886Z,2024-02-22T22:52:03.149170137Z,382.54,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (INPUT_VEH_REP1) (457),1335244,457
