#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:22:43.703477172Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/.command.trace,1144457,336
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:22:44.793627957Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/EZH2_IP_TKO_REP2.mLb.clN.plotFingerprint.pdf,1144457,336
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:22:44.798344592Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/EZH2_IP_TKO_REP2.mLb.clN.plotFingerprint.pdf,1144457,336
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:22:44.800593706Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/EZH2_IP_TKO_REP2.mLb.clN.plotFingerprint.raw.txt,1144457,336
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:22:44.803689247Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/EZH2_IP_TKO_REP2.mLb.clN.plotFingerprint.raw.txt,1144457,336
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:22:44.805871409Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/EZH2_IP_TKO_REP2.mLb.clN.plotFingerprint.qcmetrics.txt,1144457,336
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:22:44.80865222Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/EZH2_IP_TKO_REP2.mLb.clN.plotFingerprint.qcmetrics.txt,1144457,336
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:25:17.255320615Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/EZH2_IP_TKO_REP2.mLb.clN.plotFingerprint.pdf,1144457,336
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:25:17.411945186Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/EZH2_IP_TKO_REP2.mLb.clN.plotFingerprint.raw.txt,1144457,336
,,0,2024-01-24T01:04:30.028186707Z,2024-02-23T01:04:30.028186707Z,2024-02-22T22:25:18.104140316Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (EZH2_IP_TKO_REP2) (336),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/a9/5db41c400457ead793f1699977056d/EZH2_IP_TKO_REP2.mLb.clN.plotFingerprint.qcmetrics.txt,1144457,336
