#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:32:11.25600665Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/FOXA1_IP_E2_REP2.mLb.clN.plotFingerprint.pdf,1214066,401
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:32:11.267746861Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/FOXA1_IP_E2_REP2.mLb.clN.plotFingerprint.pdf,1214066,401
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:32:11.270604824Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/FOXA1_IP_E2_REP2.mLb.clN.plotFingerprint.raw.txt,1214066,401
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:32:11.274701997Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/FOXA1_IP_E2_REP2.mLb.clN.plotFingerprint.raw.txt,1214066,401
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:32:11.277286011Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/FOXA1_IP_E2_REP2.mLb.clN.plotFingerprint.qcmetrics.txt,1214066,401
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:32:11.281515618Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/FOXA1_IP_E2_REP2.mLb.clN.plotFingerprint.qcmetrics.txt,1214066,401
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:33:09.942216136Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/FOXA1_IP_E2_REP2.mLb.clN.plotFingerprint.pdf,1214066,401
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:33:10.096611279Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/FOXA1_IP_E2_REP2.mLb.clN.plotFingerprint.raw.txt,1214066,401
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:33:10.739791921Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/FOXA1_IP_E2_REP2.mLb.clN.plotFingerprint.qcmetrics.txt,1214066,401
,,0,2024-01-24T01:04:30.134706864Z,2024-02-23T01:04:30.134706864Z,2024-02-22T22:33:22.138179826Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (FOXA1_IP_E2_REP2) (401),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/c3/b13aa089f2592e4ad31200f1306879/versions.yml,1214066,401
