#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:34.26706244Z,100.73,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:36.267528722Z,211.78,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:38.267325982Z,318.39,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:40.268042331Z,426.86,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:42.267593222Z,701.61,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:44.268084252Z,701.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:46.267836538Z,702.03,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:48.267493251Z,702.61,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:50.267947279Z,702.2,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:52.26758125Z,702.05,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:54.268116319Z,702.19,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:56.26778481Z,702.3,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
,,0,2024-01-24T01:05:17.846321424Z,2024-02-23T01:05:17.846321424Z,2024-02-22T22:39:58.267321516Z,703.03,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_E2_REP2) (510),1259389,510
