#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:51:44.15113031Z,104.12,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:51:46.150387671Z,220.99,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:51:48.151055579Z,336.25,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:51:50.150671983Z,453.81,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:51:52.151195948Z,697.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:51:54.150916038Z,698.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:51:56.150358531Z,698.4,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:51:58.150958591Z,699.08,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:52:00.150466298Z,698.49,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:52:02.150963248Z,698.5,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:52:04.15057452Z,699.04,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:52:06.151182756Z,699.03,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:52:08.150829831Z,699.58,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:52:10.150201789Z,699.04,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
,,0,2024-01-24T01:05:17.906199123Z,2024-02-23T01:05:17.906199123Z,2024-02-22T22:52:12.150820098Z,699.25,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP1) (515),1335501,515
