#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:30.021266199Z,103.2781,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:32.021952609Z,104.0026,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:34.021432779Z,104.0182,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:36.021771277Z,103.7943,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:38.021413641Z,104.3788,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:40.022088637Z,100.0078,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:42.021550734Z,99.7322,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:44.022100575Z,103.2389,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:46.021703884Z,100.131,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:48.021308093Z,100.102,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:50.021650146Z,100.0041,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:52.021507981Z,99.6673,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:54.021906643Z,102.9019,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:56.021694275Z,100.098,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:36:58.022202909Z,99.0523,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:37:00.021863186Z,100.0101,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:37:02.021300314Z,99.6142,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
,,0,2024-01-24T01:05:17.967097854Z,2024-02-23T01:05:17.967097854Z,2024-02-22T22:37:04.021898289Z,104.7042,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (FOXA1_IP_VEH_REP2) (506),1239378,506
