#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:16:44.815116957Z,106.94,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:16:46.813924748Z,215.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:16:48.814572918Z,322.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:16:50.815065193Z,430.85,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:16:52.814191924Z,704.13,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:16:54.815155445Z,704.54,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:16:56.814536334Z,704.58,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:16:58.81535587Z,705.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:17:00.814884594Z,704.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
,,0,2024-01-24T01:05:18.06291558Z,2024-02-23T01:05:18.06291558Z,2024-02-22T23:17:02.814306085Z,704.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_E2_REP2) (529),1492557,529
