#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:30.273226792Z,105.29,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:32.273868545Z,209.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:34.273338221Z,310.86,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:36.273965484Z,411.62,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:38.273400749Z,706.29,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:40.27390892Z,706.71,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:42.2734939Z,706.91,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:44.274035062Z,708.05,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:46.273678706Z,707.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:48.2742804Z,707.31,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:50.273625385Z,707.85,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
,,0,2024-01-24T01:05:18.173222025Z,2024-02-23T01:05:18.173222025Z,2024-02-22T23:01:52.27329991Z,707.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (INPUT_NTKO_REP2) (522),1395697,522
