#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:14.293580894Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/.command.trace,1140976,502
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:33.336700409Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/EZH2.consensus_peaks.dds.RData,1140976,502
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:34.238158579Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/EZH2.consensus_peaks.rds,1140976,502
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:35.200239649Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/EZH2.consensus_peaks.plots.pdf,1140976,502
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:36.101542082Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/EZH2.consensus_peaks.pca.vals.txt,1140976,502
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:36.150042044Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/EZH2.consensus_peaks.sample.dists.txt,1140976,502
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:36.153775287Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/size_factors,1140976,502
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:36.157354745Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/size_factors/EZH2.consensus_peaks.size_factors.RData,1140976,502
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:36.162751202Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/size_factors/EZH2_IP_NTKO_REP2.txt,1140976,502
,,0,2024-01-24T01:05:01.568190196Z,2024-02-23T01:05:01.568190196Z,2024-02-22T22:22:36.166522976Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (EZH2) (502),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/52/4b0505f29661c9083174926b005309/size_factors/EZH2_IP_NTKO_REP1.txt,1140976,502
