#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:22.847530172Z,118.4846,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:24.848146453Z,104.6697,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:26.847740082Z,104.8521,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:28.847339241Z,104.661,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:30.847605041Z,104.4862,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:32.847323954Z,104.5154,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:34.847822021Z,99.6212,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:36.847444361Z,104.8922,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:38.848193237Z,100.3786,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:40.847576939Z,99.9591,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:42.84819029Z,99.8414,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:44.847863991Z,100.9685,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:46.847393717Z,105.7185,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:48.847772441Z,100.6337,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.89042772Z,2024-02-23T01:04:39.89042772Z,2024-02-22T02:52:50.847421111Z,100.2217,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
