#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:22.847530172Z,160.08,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:24.848146453Z,255.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:26.847740082Z,388.85,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:28.847339241Z,498.97,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:30.847605041Z,565.52,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:32.847323954Z,726.24,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:34.847822021Z,849.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:36.847444361Z,982.84,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:38.848193237Z,983.79,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
,,0,2024-01-24T01:04:39.874635259Z,2024-02-23T01:04:39.874635259Z,2024-02-22T02:52:40.847576939Z,983.8,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_TKO_REP1_T1) (29),853619,29
