#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:32.675732097Z,127.1206,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:34.676284679Z,105.1454,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:36.675653844Z,106.4053,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:38.676469765Z,105.5862,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:40.675889401Z,104.0257,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:42.67542548Z,100.3925,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:44.676076255Z,98.9158,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:46.675905994Z,105.3559,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:48.675412703Z,100.0379,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:40.016884676Z,2024-02-23T01:04:40.016884676Z,2024-02-22T02:13:50.675869612Z,100.0206,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
