#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:35.194573827Z,369.2279,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:37.194120108Z,677.6416,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:39.194875505Z,693.585,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:41.194382932Z,725.679,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:43.195048314Z,691.2288,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:45.194774764Z,680.1848,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:47.195339371Z,640.8259,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:49.194860362Z,659.0217,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:51.194287289Z,684.3917,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:53.194779679Z,665.7624,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:55.194390159Z,640.3917,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
,,0,2024-01-24T01:04:40.143854159Z,2024-02-23T01:04:40.143854159Z,2024-02-22T01:47:57.194928558Z,649.2647,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1) (5),553714,5
