#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:26.583314531Z,144.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:28.583300281Z,199.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:30.583515588Z,300.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:32.583579471Z,370.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:34.583659114Z,452.7,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:36.583471778Z,518.91,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:38.583557591Z,592.98,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:40.583689476Z,676.8,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:42.583561363Z,760.33,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:44.583619985Z,852.96,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:46.583696317Z,938.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:48.583914515Z,1010.43,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:51.612994527Z,1125.98,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:53.583344682Z,1195.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:55.58327156Z,1288.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:57.583452546Z,1377.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:10:59.583397804Z,1450.53,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:01.583438315Z,1538.58,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:03.583389614Z,1616.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:05.583604951Z,1693.14,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:07.583382694Z,1773.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:09.583658873Z,1850.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:11.583619391Z,1933.64,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:13.58359399Z,2024.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:15.583522118Z,2108.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:17.583756395Z,2187.79,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:19.582755363Z,2267.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:21.583565478Z,2283.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:23.583730664Z,2310.88,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:25.583672492Z,2334.01,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:27.583615279Z,2377.29,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:29.583738493Z,2412.55,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:31.583474214Z,2447.39,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:33.583469443Z,2466.73,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:35.583475783Z,2505.11,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:37.583494643Z,2536.09,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:39.583302827Z,2567.29,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:41.583244084Z,2594.64,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:44.583255409Z,2610.74,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:46.583256168Z,2595.42,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:48.582999329Z,2604.6,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:50.582927116Z,2604,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:52.582855793Z,2608.58,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:54.58279812Z,2602.15,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:56.582938484Z,2597.53,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:11:58.583079298Z,2595.48,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:12:00.582922042Z,2599.29,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:12:02.583056565Z,2603.65,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
,,0,2024-01-24T01:04:40.417056991Z,2024-02-23T01:04:40.417056991Z,2024-02-22T01:12:04.583388965Z,2604.53,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1) (13),403704,13
