#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:09.720791165Z,198.1404,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:11.720688995Z,669.771,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:13.72136308Z,659.3547,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:15.720791265Z,639.7502,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:17.721284533Z,673.4672,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:19.720646716Z,667.3249,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:21.721304689Z,624.282,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:23.721041574Z,618.6066,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:25.720601062Z,629.6031,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.130213994Z,2024-02-23T01:04:41.130213994Z,2024-02-22T03:15:27.720962966Z,623.1525,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
