#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:09.720791165Z,17.14,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:11.720688995Z,198.11,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:13.72136308Z,225.39,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:15.720791265Z,289.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:17.721284533Z,373.76,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:19.720646716Z,481.58,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:21.721304689Z,549.91,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:23.721041574Z,653.67,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:25.720601062Z,719.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
,,0,2024-01-24T01:04:41.112243586Z,2024-02-23T01:04:41.112243586Z,2024-02-22T03:15:27.720962966Z,800.03,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_VEH_REP1_T1) (33),923985,33
