#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:15:50.829249554Z,23.41,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:15:52.829461771Z,24.82,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:15:54.829309277Z,25.47,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:15:56.829655939Z,26.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:15:58.829134973Z,25.96,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:16:00.829475054Z,26.52,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:16:02.829814906Z,26.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:16:04.829210127Z,26.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:16:06.829740015Z,27.25,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:16:08.829243759Z,27.24,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:16:10.829509429Z,28.12,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
,,0,2024-01-24T01:04:55.400579285Z,2024-02-23T01:04:55.400579285Z,2024-02-22T22:16:12.829956974Z,27.82,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP1) (485),1091408,485
