#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:28.922091973Z,160.8606,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:30.921655907Z,163.0742,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:32.922086135Z,160.7396,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:34.921465085Z,147.718,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:36.922091321Z,162.2592,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:38.921639887Z,161.0705,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:40.922056106Z,146.8125,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:42.921771039Z,145.2511,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:44.92126147Z,144.5934,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
,,0,2024-01-24T01:04:55.471657582Z,2024-02-23T01:04:55.471657582Z,2024-02-22T20:45:46.921888703Z,143.903,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),NFCORE_CHIPSEQ:CHIPSEQ:FRIP_SCORE (EZH2_IP_TKO_REP2) (418),573929,418
