#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:34.613059376Z,19.19,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:36.612826483Z,333.82,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:38.612343194Z,538.9,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:40.61273912Z,741.31,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:42.612399035Z,944.53,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:44.613029146Z,1070.48,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:46.612865196Z,1271.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:48.612458632Z,1347.66,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:50.613065016Z,241.06,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
,,0,2024-01-24T01:04:35.870779947Z,2024-02-23T01:04:35.870779947Z,2024-02-22T22:19:52.612593289Z,244.37,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (FOXA1) (489),1118341,489
