#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:00.455374133Z,91.27,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:02.455913145Z,306.71,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:04.455385866Z,510.98,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:06.455977572Z,713.54,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:08.455389932Z,913.71,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:10.455992671Z,999.98,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:12.455430844Z,1227.27,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:14.455929313Z,118.67,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:16.455464132Z,121.96,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:18.455882509Z,125.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:20.455312447Z,129.16,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:22.455734587Z,131.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:24.455160057Z,133.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:27.455924106Z,170.65,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:29.455532455Z,318.51,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
,,0,2024-01-24T01:05:14.764233445Z,2024-02-23T01:05:14.764233445Z,2024-02-22T21:30:31.456003592Z,520.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_MACS2 (FOXA1_IP_E2_REP2) (445),830856,445
