#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:17.922844603Z,41.83,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:19.922473524Z,48.61,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:21.923038015Z,56.26,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:23.92252549Z,64.17,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:25.923380641Z,71.22,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:27.922810446Z,80.78,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:29.922169199Z,87.46,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:31.922606257Z,95.17,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:33.922256879Z,93.89,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:35.922729318Z,99.63,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:37.922202986Z,103.4,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:39.922524591Z,109.15,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:41.922286999Z,115.28,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:43.922646675Z,121.35,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:45.922068222Z,126.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:47.931714133Z,131.74,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:49.922994074Z,137.47,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:51.92269308Z,144.47,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:54.922043564Z,150.01,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
,,0,2024-01-24T01:05:13.837403533Z,2024-02-23T01:05:13.837403533Z,2024-02-22T20:18:56.922739403Z,156.13,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),NFCORE_CHIPSEQ:CHIPSEQ:MACS2_CALLPEAK (FOXA1_IP_E2_REP2) (402),416979,402
