#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:38.720534559Z,104.3245,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:40.721096289Z,103.7814,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:42.720537334Z,112.2266,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:44.721140227Z,173.4749,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:46.720534443Z,179.7893,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:48.721119998Z,173.1922,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:50.720374571Z,174.0684,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:52.720929047Z,185.4353,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:54.720567834Z,174.2779,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:56.72105097Z,175.5714,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T20:59:58.720612737Z,176.1352,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T21:00:00.721036593Z,172.8318,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T21:00:02.720478388Z,181.9906,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T21:00:04.720961058Z,173.8151,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T21:00:06.720679774Z,175.8919,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
,,0,2024-01-24T01:05:04.659832317Z,2024-02-23T01:05:04.659832317Z,2024-02-22T21:00:08.721133305Z,169.8791,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_NTKO_REP2) (436),666199,436
