#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:24.460268553Z,104.7757,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:26.45982858Z,104.4858,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:28.459592611Z,184.235,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:30.459853216Z,186.301,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:32.459569899Z,179.7813,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:34.460026004Z,187.1311,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:36.459753821Z,175.1388,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:38.460419456Z,174.0338,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:40.460177418Z,174.2639,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:42.459560186Z,174.776,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:44.460123688Z,184.9849,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:46.459902952Z,171.5017,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:48.459393342Z,173.5985,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:50.46007619Z,170.5354,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:52.45973665Z,172.9441,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:54.459997358Z,185.266,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:56.459957752Z,172.0343,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:09:58.459387896Z,172.0266,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:00.459859822Z,174.279,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:02.459756965Z,174.2289,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:04.459323775Z,187.8123,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:06.459984588Z,175.3138,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:08.459761288Z,174.7875,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:10.459238056Z,176.0548,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:12.460008573Z,173.348,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:14.45962979Z,186.2439,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:16.459198752Z,172.4356,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:18.459979122Z,173.4748,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:20.459781516Z,174.7494,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:22.46030984Z,172.2826,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:24.459967914Z,185.9452,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:26.459524192Z,174.4869,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:28.460111371Z,172.3998,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:30.459952491Z,175.4528,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:32.459274043Z,174.6276,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:34.460198194Z,187.2174,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:36.459600192Z,172.5626,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:38.460184967Z,172.062,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:40.459841028Z,173.6501,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:42.459752025Z,170.8204,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:44.460283449Z,185.853,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:46.460013785Z,171.9343,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:48.459545741Z,172.0223,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:50.459331723Z,177.9522,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:52.460106105Z,174.9921,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:54.459746697Z,173.7107,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:56.459487029Z,171.2489,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:10:58.459997984Z,175.4743,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:00.459759862Z,187.8179,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:02.460482508Z,171.3972,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:04.45991076Z,175.321,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:06.459410312Z,171.4106,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:08.459987916Z,175.091,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:10.459659498Z,188.7226,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:12.460116282Z,174.2969,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:14.459775839Z,171.3324,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:16.45937517Z,173.4756,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:18.45992179Z,174.3884,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:20.459599979Z,186.4052,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:22.460148654Z,171.9738,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:24.459704404Z,173.0998,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:26.459155278Z,99.5198,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:28.459866871Z,99.1869,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
,,0,2024-01-24T01:05:04.732000458Z,2024-02-23T01:05:04.732000458Z,2024-02-22T19:11:30.459291899Z,105.3873,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (EZH2_IP_TKO_REP1) (351),48717,351
