#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:40.008184272Z,186.55,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:42.008815418Z,185.9887,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:44.007878635Z,179.5649,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:46.008026526Z,186.9693,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:48.008373684Z,186.4755,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:50.009124124Z,132.0574,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:52.008431639Z,100.8019,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:55.008856554Z,103.0415,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:57.008072896Z,1097.239,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:48:59.0085989Z,105.7227,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:01.008254116Z,99.5005,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:03.008604325Z,99.9979,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:05.00817881Z,100.7033,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:07.008487608Z,100.1002,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:09.008966751Z,105.5357,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:11.008173195Z,100.5269,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:13.009100122Z,100.0892,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:15.008471711Z,99.9895,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:17.008980536Z,99.5549,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:19.008715767Z,104.9137,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:21.009036056Z,597.6618,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:23.008653393Z,599.3732,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:25.009292313Z,603.7835,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:27.008656282Z,602.8661,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:29.008323111Z,606.4944,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:31.008763106Z,602.547,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:33.008388053Z,598.4969,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:35.008770836Z,601.4123,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:37.008501438Z,598.9979,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:39.008891931Z,609.1717,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:41.008767547Z,601.253,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:43.009044007Z,600.2988,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:45.008435448Z,600.0753,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:47.009232845Z,595.5595,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:49.008628437Z,601.5472,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:51.009243538Z,406.2176,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:53.008703132Z,197.0294,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
,,0,2024-01-24T01:05:05.023766458Z,2024-02-23T01:05:05.023766458Z,2024-02-22T17:49:55.009140237Z,99.1658,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (FOXA1_IP_VEH_REP2) (289),3743119,289
