#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:25.278360002Z,148.2095,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:27.278928137Z,185.1644,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:29.278295025Z,184.8964,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:31.279021144Z,186.3836,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:33.278528135Z,185.0767,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:35.279114307Z,173.31,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:37.278498272Z,172.5132,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:39.279327439Z,186.0762,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:41.278464235Z,171.1402,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:43.2792828Z,173.2414,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:45.278695552Z,172.1954,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:47.279159053Z,172.1096,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:49.278952046Z,186.0075,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:51.278542187Z,109.2658,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:53.279075193Z,99.351,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:55.278432334Z,101.8145,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:57.279091312Z,99.1938,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:30:59.278570516Z,101.845,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:01.279200502Z,99.5653,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:03.278776267Z,99.5328,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:05.278364667Z,104.8389,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:07.27881025Z,838.1686,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:09.278634476Z,99.8746,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:11.279166751Z,100.1471,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:13.278634944Z,99.7041,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:15.279171128Z,105.4619,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:17.278706992Z,99.1209,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:19.279519193Z,99.7735,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:21.278752496Z,100.0845,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:23.279358079Z,100.0271,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:25.278732486Z,104.9315,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:27.278333545Z,99.6217,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:29.278701764Z,99.8986,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:32.278342581Z,99.9884,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:34.278713947Z,99.0996,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:36.278411175Z,105.2958,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:38.278980806Z,99.0446,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:40.278473526Z,99.5033,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:42.27912969Z,99.4712,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:44.278507895Z,99.2496,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:46.279137418Z,105.4271,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:48.278777801Z,100.0559,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:50.279241647Z,99.38,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:52.278646803Z,99.9003,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:54.278436556Z,99.5012,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:56.278925248Z,105.5234,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:31:58.278362588Z,99.7651,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:00.278078094Z,100.1039,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:02.278944902Z,99.039,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:04.278796532Z,99.4996,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:06.279101541Z,105.7759,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:08.278761695Z,595.9856,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:10.279148176Z,596.753,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:12.278883122Z,600.8314,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:14.27824229Z,598.0611,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:16.278965839Z,605.8491,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:18.278552894Z,598.3082,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:20.27917832Z,598.3166,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:22.27891032Z,598.1002,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:24.279170603Z,595.7125,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:26.278825861Z,599.3348,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:28.278173925Z,597.9332,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:30.279066745Z,600.0901,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.080767448Z,2024-02-23T01:05:05.080767448Z,2024-02-22T19:32:32.278569672Z,598.4643,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
