#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:25.278360002Z,93.66,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:27.278928137Z,98.5,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:29.278295025Z,101.34,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:31.279021144Z,103.51,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:33.278528135Z,105.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:35.279114307Z,106.35,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:37.278498272Z,107.79,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:39.279327439Z,109.83,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:41.278464235Z,110,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
,,0,2024-01-24T01:05:05.064597376Z,2024-02-23T01:05:05.064597376Z,2024-02-22T19:30:43.2792828Z,111.48,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_E2_REP1) (366),168270,366
