#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:39:45.886234859Z,105.7508,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:39:47.885765818Z,105.499,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:39:49.886147815Z,104.4379,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:39:51.885852261Z,184.5754,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:39:53.885717522Z,184.2678,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:39:55.885928944Z,171.9709,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:39:57.88527522Z,173.9546,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:39:59.885792203Z,188.888,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:01.885350646Z,175.7305,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:03.885810358Z,173.6507,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:05.885144424Z,173.9995,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:07.88569087Z,176.4646,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:09.885251384Z,187.4768,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:11.885704578Z,173.7127,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:13.886328217Z,176.026,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:15.885707227Z,174.4055,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:17.886290386Z,173.0977,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:19.885726668Z,180.8573,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:21.886176373Z,174.6489,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
,,0,2024-01-24T01:05:05.38033433Z,2024-02-23T01:05:05.38033433Z,2024-02-22T21:40:23.88576111Z,176.3838,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (INPUT_TKO_REP1) (463),894183,463
