#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:18:51.013658602Z,30.26,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:18:53.013566236Z,654.42,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:18:55.014026387Z,1007.08,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:18:57.013901118Z,1095.44,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:18:59.01354463Z,1105.1,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:01.01405118Z,1105.55,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:03.013523775Z,1105.33,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:05.014413005Z,1105.2,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:07.013916108Z,1105.81,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:09.013611857Z,1105.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:11.01408219Z,1105.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:13.013639323Z,1105.79,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:15.014557428Z,1105.7,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:17.01384747Z,1106.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:19.013794302Z,1105.61,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:21.014220469Z,1105.61,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:23.01388888Z,1141.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:25.013526989Z,1154.86,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:27.014121008Z,1155.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
,,0,2024-01-24T01:04:50.927809334Z,2024-02-23T01:04:50.927809334Z,2024-02-22T19:19:29.013638631Z,1155.06,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP1) (350),93938,350
