#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T17:55:16.687053458Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/.command.trace,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T17:55:17.69203589Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/tmp,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:02.817815503Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/EZH2_IP_TKO_REP2.mLb.clN.sorted.CollectMultipleMetrics.alignment_summary_metrics,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:03.123983313Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/EZH2_IP_TKO_REP2.mLb.clN.sorted.CollectMultipleMetrics.read_length_histogram.pdf,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:03.148873764Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/EZH2_IP_TKO_REP2.mLb.clN.sorted.CollectMultipleMetrics.base_distribution_by_cycle_metrics,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:03.398160756Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/EZH2_IP_TKO_REP2.mLb.clN.sorted.CollectMultipleMetrics.base_distribution_by_cycle.pdf,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:03.423381578Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/EZH2_IP_TKO_REP2.mLb.clN.sorted.CollectMultipleMetrics.quality_by_cycle_metrics,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:03.718889119Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/EZH2_IP_TKO_REP2.mLb.clN.sorted.CollectMultipleMetrics.quality_by_cycle.pdf,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:03.736359044Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/EZH2_IP_TKO_REP2.mLb.clN.sorted.CollectMultipleMetrics.quality_distribution_metrics,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:04.017384405Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/EZH2_IP_TKO_REP2.mLb.clN.sorted.CollectMultipleMetrics.quality_distribution.pdf,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:04.926387713Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/versions.yml,3807657,311
,,0,2024-01-24T01:04:51.031435792Z,2024-02-23T01:04:51.031435792Z,2024-02-22T18:02:11.841514132Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (EZH2_IP_TKO_REP2) (311),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/27/f2e8c3038c89e20bfca5ce12baafc6/.exitcode,3807657,311
