#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:19.4329316Z,163.9776,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:21.432420948Z,413.9323,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:23.432883026Z,312.5067,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:25.432280161Z,109.5161,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:27.43278193Z,118.3795,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:29.432291878Z,111.2488,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:31.43283583Z,118.5559,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:33.432428411Z,103.2107,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:35.432779667Z,99.5029,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:37.432525313Z,100.6054,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:39.432874809Z,108.4365,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:41.43244537Z,121.5442,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:43.432702313Z,106.6693,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:45.432341607Z,99.0209,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:47.432856168Z,104.4862,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:49.432300576Z,104.0548,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:51.43257536Z,115.2418,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:53.432832164Z,100.7218,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:56.432386483Z,100.118,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:50:58.432784711Z,100.2019,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:51:00.432383155Z,100.1328,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:51:02.43299416Z,108.8523,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
,,0,2024-01-24T01:04:51.138826096Z,2024-02-23T01:04:51.138826096Z,2024-02-22T17:51:04.43247766Z,100.4772,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (FOXA1_IP_E2_REP2) (294),3759786,294
