#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:13.182202214Z,31.29,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:15.182923406Z,652.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:17.182545011Z,1018.53,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:19.183145666Z,1112.61,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:21.182736217Z,1136.43,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:23.182209332Z,1137.33,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:25.182642846Z,1123.16,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:27.182351076Z,1122.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:29.183084167Z,1123.97,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:31.182441662Z,1122.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:33.182689335Z,1122.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:35.182481251Z,1122.81,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:37.182937777Z,1122.55,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:39.182945577Z,1123.5,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
,,0,2024-01-24T01:04:51.486183352Z,2024-02-23T01:04:51.486183352Z,2024-02-22T18:39:41.182299855Z,1122.53,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_NTKO_REP2) (323),4076672,323
