#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:12.287231807Z,450.3313,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:14.287987931Z,134.6773,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:16.287669769Z,249.8186,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:18.287566545Z,113.2837,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:20.287754669Z,113.2735,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:22.287463576Z,131.8871,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:24.288238918Z,99.5421,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:26.28814015Z,99.2398,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:28.287805945Z,110.0147,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
,,0,2024-01-24T01:04:51.76890175Z,2024-02-23T01:04:51.76890175Z,2024-02-22T19:23:30.287608364Z,99.4897,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (INPUT_VEH_REP2) (353),120990,353
