#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:40:57.537880724Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/.command.trace,2278464,146
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:40:58.451295215Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/tmp,2278464,146
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:40:58.463639498Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/tmp/libgkl_compression2953894194257376340.so,2278464,146
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:40:59.204148095Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/tmp/CSPI.1114145128391088784.tmp,2278464,146
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:40:59.208140185Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/tmp/CSPI.1114145128391088784.tmp,2278464,146
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:40:59.210643097Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/tmp/CSPI.1114145128391088784.tmp,2278464,146
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:49:12.359677408Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/tmp/sortingcollection.4910771839629346872.tmp,2278464,146
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:49:12.364901628Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/tmp/snappy-1.1.8-dac15756-7296-4121-b87c-4b70fe7ea834-libsnappyjava.so,2278464,146
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:53:33.070783104Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/tmp/sortingcollection.3534472710202244323.tmp,2278464,146
,,0,2024-01-24T01:04:56.664302165Z,2024-02-23T01:04:56.664302165Z,2024-02-22T13:54:50.656431171Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (EZH2_IP_TKO_REP2) (146),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/ce/9d904e6233416b2fea907b475d8873/tmp/sortingcollection.4910771839629346872.tmp,2278464,146
