#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:03.917983289Z,450.9793,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:05.917745441Z,228.3221,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:07.91742084Z,238.9107,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:09.91774111Z,199.0749,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:11.917515792Z,220.7863,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:13.917975536Z,113.3766,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:15.917417807Z,101.3249,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:17.917996752Z,98.9272,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:19.917246973Z,109.653,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
,,0,2024-01-24T01:04:56.77139313Z,2024-02-23T01:04:56.77139313Z,2024-02-22T13:44:21.91812259Z,100.2103,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_E2_REP2) (149),2311321,149
