#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:05:49.3763963Z,451.3186,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:05:51.377052864Z,376.2777,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:05:53.376411978Z,127.3583,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:05:55.377108297Z,126.7894,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:05:57.376876407Z,137.3,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:05:59.376448042Z,234.9622,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:06:01.376774763Z,99.9409,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:06:03.376395862Z,99.9433,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:06:05.376312923Z,131.3043,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:06:07.376746162Z,126.4288,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:06:09.376257772Z,100.4993,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
,,0,2024-01-24T01:04:56.827977067Z,2024-02-23T01:04:56.827977067Z,2024-02-22T15:06:11.376599451Z,99.9294,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP1) (155),2760445,155
