#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:01.633761968Z,31.84,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:03.633640758Z,2276.63,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:05.633843159Z,2961.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:07.633294625Z,3688.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:09.633828927Z,4113.85,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:11.633407377Z,4979.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:13.633896008Z,5511.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:15.633186439Z,5520.91,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:17.633913037Z,5559.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:19.63326948Z,6670.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:21.633975567Z,6671.25,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:23.633502315Z,6671.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:25.633929473Z,6736.62,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:27.633520693Z,6736.34,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:29.633770175Z,6811.37,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:31.633453288Z,7252.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:33.634063961Z,8102.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:35.633264389Z,8103.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:37.633840501Z,8103.05,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:39.633500813Z,8103.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:41.634134217Z,8103.37,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:43.633609083Z,8104.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:45.636017144Z,8104,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:47.633234267Z,8104.34,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:49.633963954Z,8147.78,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
,,0,2024-01-24T01:04:56.877505705Z,2024-02-23T01:04:56.877505705Z,2024-02-22T13:41:51.633369908Z,14404.11,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (FOXA1_IP_VEH_REP2) (148),2281948,148
