#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:23.758755265Z,444.5276,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:25.759297702Z,285.612,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:27.759762846Z,191.735,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:29.75929398Z,162.7605,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:31.759821656Z,154.67,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:33.759520626Z,123.3378,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:35.759863076Z,115.1246,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:37.759722272Z,99.7309,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:39.760058272Z,134.8119,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.028088871Z,2024-02-23T01:04:57.028088871Z,2024-02-22T15:25:41.759576727Z,123.1836,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
