#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:23.758755265Z,42.89,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:25.759297702Z,2384.6,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:27.759762846Z,3179.46,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:29.75929398Z,3767.27,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:31.759821656Z,4183.16,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:33.759520626Z,4965.94,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:35.759863076Z,5788,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:37.759722272Z,5812.62,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:39.760058272Z,5819.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
,,0,2024-01-24T01:04:57.010741072Z,2024-02-23T01:04:57.010741072Z,2024-02-22T15:25:41.759576727Z,5853.71,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_E2_REP2) (161),2928064,161
