#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:37.975144498Z,58.42,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:39.97481124Z,2426.81,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:41.975223222Z,3328.01,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:43.975056201Z,3473.66,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:45.975166745Z,4557.16,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:47.974752638Z,4605.07,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:49.975252934Z,4937.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:51.974803607Z,5740.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:53.974405377Z,5741.79,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:55.974918311Z,5768.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:57.974885393Z,5824.98,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:25:59.974457168Z,6017.07,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:26:01.974953408Z,7069.15,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:26:03.974851744Z,7069.88,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:26:05.974372104Z,7069.74,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:26:07.974928201Z,7127.73,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
,,0,2024-01-24T01:04:57.077763213Z,2024-02-23T01:04:57.077763213Z,2024-02-22T14:26:09.97471443Z,7144,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_NTKO_REP1) (153),2533566,153
