#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:15:48.706575693Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/.command.trace,2843052,159
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:15:49.529508754Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/tmp,2843052,159
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:15:49.541420247Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/tmp/libgkl_compression14888046705812621687.so,2843052,159
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:15:50.236449499Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/tmp/CSPI.10747709248810360592.tmp,2843052,159
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:15:50.240046914Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/tmp/CSPI.10747709248810360592.tmp,2843052,159
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:15:50.242169412Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/tmp/CSPI.10747709248810360592.tmp,2843052,159
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:23:55.295220499Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/tmp/sortingcollection.4351771048135164467.tmp,2843052,159
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:23:55.301443079Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/tmp/snappy-1.1.8-dbf0d793-3956-494e-a6ec-3b4521ba99a2-libsnappyjava.so,2843052,159
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:29:11.604470525Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/tmp/sortingcollection.529684307745111538.tmp,2843052,159
,,0,2024-01-24T01:04:57.340722098Z,2024-02-23T01:04:57.340722098Z,2024-02-22T15:30:30.321265087Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_TKO_REP1) (159),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/94/a9539186d808d39c10dc792d146cf4/tmp/sortingcollection.4351771048135164467.tmp,2843052,159
