#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:15:31.228763364Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/.command.trace,2839257,158
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:15:32.012327058Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/tmp,2839257,158
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:15:32.02326927Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/tmp/libgkl_compression8049749817553675947.so,2839257,158
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:15:32.714347473Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/tmp/CSPI.12857419080774285476.tmp,2839257,158
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:15:32.717795213Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/tmp/CSPI.12857419080774285476.tmp,2839257,158
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:15:32.72109556Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/tmp/CSPI.12857419080774285476.tmp,2839257,158
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:17:02.450602824Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/INPUT_VEH_REP2.mLb.mkD.sorted.bam,2839257,158
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:20:43.769332119Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/INPUT_VEH_REP2.mLb.mkD.sorted.MarkDuplicates.metrics.txt,2839257,158
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:20:43.788919859Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/tmp/CSPI.12857419080774285476.tmp,2839257,158
,,0,2024-01-24T01:04:57.570002548Z,2024-02-23T01:04:57.570002548Z,2024-02-22T15:20:43.791911425Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (INPUT_VEH_REP2) (158),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/64/09468d070d85ad76d0fd83a72a2946/tmp/libgkl_compression8049749817553675947.so,2839257,158
