#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:23.909321804Z,12.79,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:25.9102632Z,15.26,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:27.909533523Z,16.75,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:29.910130319Z,17.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:31.909584009Z,17.13,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:33.910200245Z,17.89,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:35.909823661Z,17.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:37.910218271Z,17.44,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:39.910406984Z,17.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
,,0,2024-01-24T01:05:19.20485433Z,2024-02-23T01:05:19.20485433Z,2024-02-22T16:54:41.909609387Z,17.97,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (EZH2_IP_TKO_REP1) (222),3418208,222
