#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:36:43.714675481Z,12.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:36:45.714287449Z,13.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:36:47.714809608Z,16.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:36:49.714406048Z,17.14,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:36:51.714932999Z,18.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:36:53.714455169Z,18.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:36:55.714971241Z,17.66,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:36:57.714484313Z,18.48,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:36:59.71509138Z,17.84,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:37:01.714622604Z,17.73,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:37:03.715142Z,18.3,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:37:05.714641495Z,17.8,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:37:07.715234556Z,18.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
,,0,2024-01-24T01:05:19.353852947Z,2024-02-23T01:05:19.353852947Z,2024-02-22T15:37:09.714807575Z,18.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (FOXA1_IP_E2_REP1) (178),3000602,178
