#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:17:46.77954578Z,106.1663,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:17:48.780119489Z,106.5673,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:17:50.779635987Z,106.888,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:17:52.779994834Z,106.1278,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:17:54.779468066Z,105.2171,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:17:56.78019837Z,99.0742,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:17:58.779712678Z,99.4386,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:18:00.779329041Z,106.6919,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:18:02.779931568Z,98.6478,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
,,0,2024-01-24T01:05:19.607039849Z,2024-02-23T01:05:19.607039849Z,2024-02-22T17:18:04.779324519Z,98.9806,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),NFCORE_CHIPSEQ:CHIPSEQ:PRESEQ_LCEXTRAP (INPUT_E2_REP2) (244),3539818,244
